,Unnamed: 0,%,entities,relationships,runtime
0,0,0.4,2924,94,107.62073874473572
1,1,0.18869884506881784,2882,67,104.5187485218048
2,2,0.08321886446886448,2789,100,101.80013036727905
3,3,0.6265000000000001,2519,125,99.21562337875366
4,4,0.0,2784,88,99.54141402244568
5,5,0.025,2117,96,98.65748238563538
6,6,0.0,2873,93,101.43661046028136
7,7,0.0,2791,130,99.58478474617004
8,8,0.6,2766,104,98.65528869628906
9,9,0.005938513677075769,2088,72,98.32233715057372
10,10,0.0,1954,66,98.09297633171082
11,11,0.0,2743,118,98.56364130973816
