,id,answers
0,0,http://www.w3.org/2000/01/rdf-schema#label
1,2,http://www.w3.org/2000/01/rdf-schema#label
2,3,http://dbpedia.org/resource/Gunther_Karsten http://purl.org/dc/terms/subject http://dbpedia.org/resource/Spierig_brothers http://purl.org/dc/terms/subject http://dbpedia.org/resource/Emanuel_Felke http://purl.org/dc/terms/subject http://dbpedia.org/resource/Norbert_Denef http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wolfgang_Hirschbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Bernd_H%C3%BCttemann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Heinrich_Feisthauer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Adolf_Just http://purl.org/dc/terms/subject http://dbpedia.org/resource/Arthur_Engelbert http://purl.org/dc/terms/subject http://dbpedia.org/resource/Gerd_Rubenbauer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Isabel_Varell http://purl.org/dc/terms/subject http://dbpedia.org/resource/Klaus_Hesse http://purl.org/dc/terms/subject http://dbpedia.org/resource/Klaus_Koschorke http://purl.org/dc/terms/subject http://dbpedia.org/resource/Leopold_Hoesch http://purl.org/dc/terms/subject http://dbpedia.org/resource/Lorentz_Lossius http://purl.org/dc/terms/subject http://dbpedia.org/resource/Marcel_Reif http://purl.org/dc/terms/subject http://dbpedia.org/resource/Niko_Paech http://purl.org/dc/terms/subject http://dbpedia.org/resource/Peter_Winter_(philately) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Horst_Heinrich_Streckenbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Stefan_Richarz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Gerda_Warko http://purl.org/dc/terms/subject http://dbpedia.org/resource/Helen_Sensburg http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ahmed_Siddiqui_(German) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Marcus_Kretzer http://purl.org/dc/terms/subject http://dbpedia.org/resource/Otto_Armster http://purl.org/dc/terms/subject http://dbpedia.org/resource/Armin_Gr%C3%BCn http://purl.org/dc/terms/subject http://dbpedia.org/resource/Josef_Naus http://purl.org/dc/terms/subject http://dbpedia.org/resource/Siriusmo http://purl.org/dc/terms/subject http://dbpedia.org/resource/Christian_Friedrich_von_Otto http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ewald_Kienle http://purl.org/dc/terms/subject http://dbpedia.org/resource/Harm_Osmers http://purl.org/dc/terms/subject http://dbpedia.org/resource/LeVar_Burton http://purl.org/dc/terms/subject http://dbpedia.org/resource/Germans http://purl.org/dc/terms/subject http://dbpedia.org/resource/Maifest http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilfried_Telk%C3%A4mper http://purl.org/dc/terms/subject http://dbpedia.org/resource/List_of_terms_used_for_Germans http://purl.org/dc/terms/subject http://dbpedia.org/resource/Ulrich_Mohrhoff http://purl.org/dc/terms/subject http://dbpedia.org/resource/Markus_Hofmann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Christian_Schumann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Mercedes_Bunz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Friedrich_Michael_Ziegenhagen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Inge_Druckrey http://purl.org/dc/terms/subject http://dbpedia.org/resource/Stephan_Noller http://purl.org/dc/terms/subject http://dbpedia.org/resource/Volker_Kempe http://purl.org/dc/terms/subject http://dbpedia.org/resource/Karl_Friedrich_Louis_Dobermann http://purl.org/dc/terms/subject
3,4,http://www.w3.org/2000/01/rdf-schema#label
4,6,http://www.w3.org/2000/01/rdf-schema#label
5,7,http://dbpedia.org/resource/Marc-Uwe_Kling http://purl.org/dc/terms/subject http://dbpedia.org/resource/Anastasia_Zampounidis http://purl.org/dc/terms/subject http://dbpedia.org/resource/Martin_Laurello http://purl.org/dc/terms/subject http://dbpedia.org/resource/Christoph_S%C3%BC%C3%9F http://purl.org/dc/terms/subject http://dbpedia.org/resource/Johannes_B._Kerner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hagen_Rether http://purl.org/dc/terms/subject http://dbpedia.org/resource/Stermann_&_Grissemann http://purl.org/dc/terms/subject
6,8,http://www.w3.org/2000/01/rdf-schema#label
7,9,"http://dbpedia.org/resource/German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilhelm_II,_German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/Frederick_III,_German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/William_I,_German_Emperor http://purl.org/dc/terms/subject http://dbpedia.org/resource/List_of_German_monarchs_in_1918 http://purl.org/dc/terms/subject"
8,10,http://www.w3.org/2000/01/rdf-schema#label
9,11,http://dbpedia.org/resource/Heinrich_Zimmermann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Franziska_Goltz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Friederike_Belcher http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hannes_Baumann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Kathrin_Kadelbach http://purl.org/dc/terms/subject http://dbpedia.org/resource/Moana_Delle http://purl.org/dc/terms/subject http://dbpedia.org/resource/Tobias_Schadewaldt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Felix_von_Luckner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Fritz_Sauckel http://purl.org/dc/terms/subject http://dbpedia.org/resource/Rollo_Gebhard http://purl.org/dc/terms/subject http://dbpedia.org/resource/Emil_St%C3%BCrtz http://purl.org/dc/terms/subject http://dbpedia.org/resource/Wilfried_Erdmann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hans_L%C3%BCdemann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Willy_Messerschmitt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Hannes_Lindemann http://purl.org/dc/terms/subject http://dbpedia.org/resource/Alfred_von_Niezychowski http://purl.org/dc/terms/subject http://dbpedia.org/resource/Albin_K%C3%B6bis http://purl.org/dc/terms/subject http://dbpedia.org/resource/Max_Reichpietsch http://purl.org/dc/terms/subject http://dbpedia.org/resource/Christian_Nissen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Gustav_Schr%C3%B6der http://purl.org/dc/terms/subject http://dbpedia.org/resource/Laura_Dekker http://purl.org/dc/terms/subject http://dbpedia.org/resource/Bruno_Splieth http://purl.org/dc/terms/subject http://dbpedia.org/resource/Eckart_Wagner http://purl.org/dc/terms/subject http://dbpedia.org/resource/Fritz_Kopperschmidt http://purl.org/dc/terms/subject http://dbpedia.org/resource/Herbert_Reich_(sailor) http://purl.org/dc/terms/subject http://dbpedia.org/resource/Simon_Grotel%C3%BCschen http://purl.org/dc/terms/subject http://dbpedia.org/resource/Edgar_Gold http://purl.org/dc/terms/subject
