,id,answers
0,0,Na24b2cba3e84444e83919d36d03af3a2 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing Ndd1906b2ba0c40929068bcd6cf1eec21 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/PopulatedPlace N4da63938f15445dc8978b64bee7dc870 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person N77215681e9814d22872ec8840caf15d4 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/SoccerPlayer N6b0f387dd2874a58a8de000b7d7a8e7c http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Settlement N8995e54c71b84e29bd45dec910bfac7d http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person Nc6ecd7489c6a4b9492cf4e0af1cf76c9 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person N58dc214e46be4fed9863356ab888cd6b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Architect Nb9c48e2e0b6e45d19dd7238feb4a79ff http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent Nd958a965d47f49ab9ff1bda9f670b65a http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent N1519f95d51d94784a996568d5ff88909 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person N8e3570c60d774448bf12f5c7ce6e394f http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person N04afe01d5bb6441dbcdf7b45b2d29669 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person N9ffb85b731384dfe876b9042c43f7464 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place N652340331df64575acfa6d052914208e http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person N3918525c68aa46aa9788dab97e8957a6 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Song N7be6171c6f934b559ee88d436018e28d http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Settlement Ndcdb9bd7c7c44b26a4318be63f724319 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Organization Na43062ac86824c1a831bc39f3343958c http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person N25072f9f10de44019a1555e3881cc093 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Company N44da2ff736984e4bb83603e0c82dcc71 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place N61318c9c9d56439d99d5086342a8dd89 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N856879ea4b764f68a330c995c802542a http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place N04d1855bb3ef48fea4002edc1396297a http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N58777abe1bef4eedaff676a4488c0223 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Athlete N48ffd545ece84bffb567d891bf9ce6f4 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place N9461155870e143a5b644cc7714cb15d2 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/EurovisionSongContestEntry N0818d6d450df4394a2e9230a7759823b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Work Neba7fd68cae74a14ab66d2901150ef7d http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person N491ae27538b448ebab797bb603995a84 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person Nfb04f95f28c84e94b43fbafa5393b88e http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Athlete Nd8d85aa40f9842f7aee40b49009ed6ad http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/ArchitecturalStructure Ne7fe071cf97c4fa9a7d3bdd271536beb http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person N376d3048b7f74a7686925ef1a7801395 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person N589e00fc86534178855015088b1ef43b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature N8380c4f838304a3587f70d99c74a5925 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N7a335d925b8246948ac941adaa4bf92b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Single Ncc66d9a640b94396b968b5d4ddb7d833 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N28481e09285b47f9b986acee7ff2bad2 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Architect Ndc681de59c8e47cba1341638170b99a5 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person N9ee29c9b0bc144fcad5bb3cc1a5a7dc2 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N20b80890c43b410e9dd26d5202512b60 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person Nba19827586294648a11741ef3903b702 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/MusicalWork N559883b12d564f7d97761699c49ba017 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent N9686b71e3ac240819ad78d25a40337bb http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N465c5e41ca61455391dc95194dfd3d53 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person N46e7e2e103024f8299c4a49fe492affe http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent N381fc196addf40769a9584c74fd9cd3b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N6d29860979434088a742ba8ec3f8d149 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N28e127e7aa1a44b7b40d1ebd478a1c30 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/MusicalWork N6db4bf89757040dcb48f18d9d905d5b9 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person Nf792352541514979b97f97f091daed39 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Work Ne1595bfceadf40d1be6622bd31f1d3ee http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N167429a4b0e0429090c65601c2b5bdd4 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N049b2c5ba5c943bc8220fd1ee671c371 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent Nf12d8be1248a4936b403449951dd7c97 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Organisation Nbddc0ce4db8c4dea84914c8c34b58a43 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person N43737fd538a647628c86fe8c332c5862 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person N9bdd76388daf41cbaa9599fec341b81b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/ArchitecturalStructure N0e5083fa50b3490ca23968befc97e1d2 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/CreativeWork N6141502a5ace45469c53af2413199f5b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Athlete N4645ae14d06a480280f97b03a8dc0ff6 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature N81a5f87b027d4dd6b7c5a6471a58c11b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place N80608d20f18749c7bd3597a488eececf http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Place Nfb436179efd944389bd358b475c47f7b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature N632a698f403043678e91d6fb8f08ece9 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person N0d745a9f95e14005b34877852251bc89 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/PopulatedPlace Na98a58b15e3343bda8f061bb7e72c465 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person N3db8c0fe7db64eae8a75afb3209cb9ac http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Artist N65a2ff28088d43c0924ddf9b2a68194d http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/SoccerPlayer N921cc8115c3a4570b898431b23f1d4dd http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent Nc8bae20822294f699a6aa25e5013a897 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place N7ae217ed590b434a85966e2707473ffc http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Place N9c9a61878e66485abb906d5360738736 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Infrastructure N2fc0c21ebb0947daac5619c421886330 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent Nf037b87f99a34f8cb3788ddc09102a6a http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person Ned1daa70dd1b4722a26e90f3e434f30a http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Station N588c6391f2b4469d8a9e12f1baeff3b5 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Station N04da28f8785c499199e62c83eb72cf8d http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person N5385ebb62125449f99f0d63e03b8cdeb http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person N908be1352b62465089f0dad4e2b5c6ac http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Infrastructure Ndc0f0cb18ef24c658542b5e5f8fdf61f http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing Nf0c6e005497147c99a0b1ad7f7ea29c8 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/MusicRecording N5deb95d05d8f41d0b51ba7b541bb16d6 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent Nce976d08125e477481b880f385959b67 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent Ne8fd5b855d714aeead888350a911083a http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person Neb0d0dd8a4c849c1abad18d5cae3ccf7 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person Nbdb46c172d0b478bbb8f3bd321cf6eca http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N8f8f016dbc8a4d08b0c524067d004dce http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person Nec788f145ef147599b1c7941aa1e7397 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/CreativeWork N66fc7fcdd8dc4cdfa5e04549a95837cd http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N7298e21ab3834746877b61fd971bc2ae http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person N019690e0b98946f6bbd11ec24563a495 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Agent Nc13f2ca33a644a8d9968b09a9243bb44 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/BaseballPlayer N8432a3f6329f49548b7198a3ebebc32b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing Nf3bd491731c445edb4e6f1e8b276e33a http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://xmlns.com/foaf/0.1/Person Ne764d9be742543308f52ba6961cafbdc http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.w3.org/2002/07/owl#Thing N9199160471824e4e959f528def93867b http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://schema.org/Person N5e41837b1edf46f6b2a6bbf4dcf70451 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature N6b287c1052d2410dbae31588830e520c http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://www.opengis.net/gml/_Feature
1,1,http://dbpedia.org/resource/Toyota_Granvia http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Luxury_vehicles
2,2,http://dbpedia.org/resource/Nissan_Fuga http://dbpedia.org/ontology/manufacturer http://dbpedia.org/resource/Nissan_Motor_Company http://dbpedia.org/resource/Acura_ZDX http://purl.org/dc/terms/subject http://dbpedia.org/resource/Category:Luxury_vehicles
3,3,http://dbpedia.org/resource/Benjamin_Huefner http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Berlin
4,4,http://dbpedia.org/resource/Katharine_Cornell http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Writer
5,5,http://dbpedia.org/resource/Eduardo_Xol http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Designer
6,6,http://dbpedia.org/resource/Ethan_Luck http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/California
7,7,http://dbpedia.org/resource/Akihiko_Hoshide http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Engineer
8,8,http://dbpedia.org/resource/Emelie_Norenberg http://dbpedia.org/ontology/occupation http://dbpedia.org/resource/Designer
9,9,http://dbpedia.org/resource/Ger_McDonnell http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/County_Limerick
