,id,answers
0,0,"http://dbpedia.org/resource/Oscar_Garcia_Rivera,_Sr. http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person"
1,1,http://dbpedia.org/resource/Maher_Al-Sayed http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Syria
2,2,http://dbpedia.org/resource/M%C3%ADnor_D%C3%ADaz http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
3,3,http://dbpedia.org/resource/Anna_Wu http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
4,4,http://dbpedia.org/resource/Xi'an http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City
5,5,http://dbpedia.org/resource/Guangzhou http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Foshan http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Toronto http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Kinshasa http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City
6,6,"http://dbpedia.org/resource/Ciudad_Cuauht%C3%A9moc,_Veracruz http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Hafshejan http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Gillette,_Wyoming http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Acayucan,_Veracruz http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Bulnes,_Chile http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Fukche http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Coelemu http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Nakory http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Minatitl%C3%A1n,_Colima http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Delray_Beach,_Florida http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Guerrero,_Coahuila http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Kharameh http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Iga,_Mie http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Jask http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Chimrawas http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Ciudad_Cuauht%C3%A9moc,_Chiapas http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Morelos,_Coahuila http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Napasar http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/General_Cepeda http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City http://dbpedia.org/resource/Ixtlahuac%C3%A1n http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/City"
7,7,http://dbpedia.org/resource/Provisional_Government_of_Albania http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Lordship_of_Berat http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Ancient_Carthage http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Kingdom_of_Nejd_and_Hejaz http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Despotate_of_Angelokastron_and_Lepanto http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Despotate_of_Arta http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Autonomous_Republic_of_Northern_Epirus http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Principality_of_Kastrioti http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Principality_of_Gjirokast%C3%ABr http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Khamag_Mongol http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Princedom_of_Albania http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Cabe%C3%A7a_do_Cachorro http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Kingdom_of_Maynila http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Hispania http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Federation_of_Rhodesia_and_Nyasaland http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Euro_gold_and_silver_commemorative_coins_(Monaco) http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Principality_of_Arbanon http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/American_Samoa http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Principality_of_Dukagjini http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Country
8,8,http://dbpedia.org/resource/%C3%81ngel_Torres http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C5%8Ce_Taku http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%89mile_Nouguier http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%89douard_Deperthes http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%81ngel_Paz http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C4%90uro_Ostoji%C4%87 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%9Eorsteinn_Bjarnason http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%81ngel_Cheme http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/A._D._S._N._Prasad http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%81kos_R%C3%A1thonyi http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C4%BDubom%C3%ADr_Mesz%C3%A1ro%C5%A1 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/A._G._V._Paley http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C4%BDudov%C3%ADt_Cvetler http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/2008%E2%80%9309_KS_Vllaznia_Shkod%C3%ABr_season http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%81ngel_Picazo http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%80lex_Sim%C3%B3n_i_Casanovas http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/2007_CIS_Men's_Soccer_Championship http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/A._Clarke http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C3%8Dris_Stefanelli http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person http://dbpedia.org/resource/%C8%98tefan_Procopiu http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
9,9,http://dbpedia.org/resource/%C3%80lex_Sim%C3%B3n_i_Casanovas http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://dbpedia.org/ontology/Person
