,id,query,answers
0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

CONSTRUCT {
     ?person dbo:birthPlace :Berlin .
     ?person dbo:birthDate ?birth .
     ?person foaf:name ?name .
     ?person dbo:deathDate ?death .
     }WHERE{
     ?person dbo:birthPlace :Berlin .
     ?person dbo:birthDate ?birth .
     ?person foaf:name ?name .
     ?person dbo:deathDate ?death .
     FILTER (?birth < ""1900-01-01""^^xsd:date) .
} LIMIT 1000",http://dbpedia.org/resource/Carl_Ludvig_Engel http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Berlin http://dbpedia.org/resource/Carolina_Micha%C3%ABlis_de_Vasconcellos http://dbpedia.org/ontology/birthPlace http://dbpedia.org/resource/Berlin
1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX : <http://dbpedia.org/resource/>

CONSTRUCT {
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
}WHERE{
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
} LIMIT 1000",http://dbpedia.org/resource/Wife_vs._Secretary http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson
2,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

CONSTRUCT {
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
}WHERE{
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
} LIMIT 1000",http://dbpedia.org/resource/Lady_by_Choice http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson
3,3,"PREFIX dbo: <http://dbpedia.org/ontology/>


CONSTRUCT {
 
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
}WHERE{
 
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
} LIMIT 1000",http://dbpedia.org/resource/A_Harp_in_Hock http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson http://dbpedia.org/resource/One_Man's_Journey http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson
4,4,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

CONSTRUCT {
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
}WHERE{
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
} LIMIT 1000",http://dbpedia.org/resource/A_Harp_in_Hock http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson http://dbpedia.org/resource/The_Adventures_of_Tom_Sawyer_(1938_film) http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson http://dbpedia.org/resource/One_Man's_Journey http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson
5,5,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>

CONSTRUCT {
?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ?name .
 }WHERE{
?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ?name .
 FILTER (str(?name) = ""May Robson"")
} LIMIT 1000",http://dbpedia.org/resource/You_Can't_Buy_Everything http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson
6,6,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>

CONSTRUCT {
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
}WHERE{
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
} LIMIT 1000",http://dbpedia.org/resource/A_Harp_in_Hock http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson
7,7,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>


CONSTRUCT {
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
}WHERE{
 ?film foaf:name ?filmname .
 ?film dbo:starring ?person .
 ?person dbo:birthDate ?birth ;
 foaf:name ""May Robson""@en .
} LIMIT 1000",http://dbpedia.org/resource/You_Can't_Buy_Everything http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson http://dbpedia.org/resource/Letty_Lynton http://dbpedia.org/ontology/starring http://dbpedia.org/resource/May_Robson
