,query
0,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id where {
?s a ont:InformationAppliance .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER NOT EXISTS {?s a ont:operatingSystem .}
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
1,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id where {
?s a ont:InformationAppliance .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER NOT EXISTS {?s a dbpprop:operatingSystem .}
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
2,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id ?s where {
?s a ont:InformationAppliance .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER NOT EXISTS {?s a dbpprop:operatingSystem .}
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
3,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id ?s where {
?s a ont:InformationAppliance .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER NOT EXISTS {?s a ont:Software .}
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
4,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id ?s where {
?s a ont:InformationAppliance .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER NOT EXISTS {?s rdf:type ont:Software .}
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
5,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id ?s where {
?s a ont:InformationAppliance .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER NOT EXISTS {?s rdf:type ont:Software .}
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
6,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id ?s where {
?s a ont:InformationAppliance .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
MINUS {?s rdf:type ont:Software .}
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
7,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id ?s where {
?s a ont:InformationAppliance .
MINUS {?s a ont:Software .}
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
8,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?p ?o ?l ?id ?s where {
?s a ont:InformationAppliance
MINUS {?s a ont:Software .} .
?s rdfs:label ?l .
?s ont:wikiPageID ?id .
BIND (rdf:nil AS ?o).
BIND (rdfs:label AS ?p).
FILTER langMATCHES(lang(?l), ""en"")
}
ORDER BY ?o ?l
LIMIT 10000"
9,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ont: <http://dbpedia.org/ontology/>
PREFIX dbpprop: <http://dbpedia.org/property/>
PREFIX dbpres: <http://dbpedia.org/resource/>
PREFIX dbpcat: <http://dbpedia.org/resource/Category:>
PREFIX yago: <http://dbpedia.org/class/yago/>
PREFIX purl: <http://purl.org/dc/terms/>
PREFIX yago: <http://dbpedia.org/class/yago/>
select distinct ?s where {
?s a ont:InformationAppliance
MINUS {?s a ont:Software .} .
}
ORDER BY ?s
LIMIT 10000"
