,query
0,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:luxury_cars> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
1,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Luxury_cars> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
2,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:British_museums> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
3,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Polish_film> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
4,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:American_directors> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
5,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX dbo: <http://dbpedia.org/ontology/>

SELECT ?manufacturer ?name ?car
WHERE {
    ?car <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Luxury_vehicles> .
    ?car foaf:name ?name .
    ?car dbo:manufacturer ?man .
    ?man foaf:name ?manufacturer
}
ORDER by ?manufacturer ?name
"
6,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Luxury_vehicle> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
7,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Luxury_vehicles> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
8,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Person> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
9,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?title
WHERE {
    ?game <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:First-person_shooters> .
    ?game foaf:name ?title .
}
ORDER by ?title
"
10,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?director foaf:name ?name .
}
ORDER by ?name
limit 12"
11,"SELECT ?name
WHERE {
?director <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?director foaf:name ?name .
}
ORDER by ?name
limit 30"
12,"SELECT ?name
WHERE {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?game foaf:name ?name .
UNION
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .}
ORDER by ?name
limit 30"
13,"SELECT ?name
WHERE {
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?game foaf:name ?name .}
UNION
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .}
}
ORDER by ?name
limit 30"
14,"SELECT ?name
WHERE {
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?game foaf:name ?name .}
UNION
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .}
}
ORDER by ?name
limit 10"
15,"SELECT ?name
WHERE {
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games> .
?game foaf:name ?name .}
UNION
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .}
}
ORDER by ?name
limit 10"
16,"SELECT ?name ?abstract
WHERE {
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Video_games>
 <http://dbpedia.org/ontology/abstract> ?abstract.
?game foaf:name ?name .
?abstract}
UNION
{?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .}
}
ORDER by ?name
limit 10"
17,"SELECT ?abstract
WHERE {
{
<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
}"
18,"SELECT ?abstract
WHERE {

<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
}"
19,"SELECT ?abstract
WHERE {

<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
}

limit 5
"
20,"SELECT ?abstract
WHERE {

<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(abstract)'pl')
}

limit 5
"
21,"SELECT ?abstract
WHERE {

<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract)'pl')
}

limit 5
"
22,"SELECT ?abstract
WHERE {

{<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract),'pl')
}}

limit 5
"
23,"SELECT ?abstract
WHERE {

{<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract),'pl')
OPTIONAL
FILTER langMatches(lang(?abstract),'en')
}}

limit 5"
24,"SELECT ?abstract
WHERE {

{
OPTIONAL{
<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract),'pl')
}
OPTIONAL{
<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract),'en')
}}

limit 5"
25,"SELECT ?abstract
WHERE {

{

<http://dbpedia.org/resource/Harry_Potter>
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract),'pl')
}
}

limit 5"
26,"SELECT ?abstract
WHERE {
{
<http://dbpedia.org/resource/Harry_Potter>
OPTIONAL{
 <http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract),'pl')
}
OPTIONAL
{<http://dbpedia.org/ontology/abstract> ?abstract.
FILTER langMatches(lang(?abstract),'en')
}
}
}
limit 5"
27,"SELECT ?name
WHERE {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Books> .
?game foaf:name ?name .
}
ORDER by ?name
limit 10
"
28,"SELECT ?name
WHERE {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Books> .
?game foaf:name ?name .
}
ORDER by ?name
limit 10
"
29,"SELECT ?name
WHERE {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Films> .
?game foaf:name ?name .
}
ORDER by ?name
limit 10
"
30,"SELECT ?name
WHERE {
?game <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name .
}
ORDER by ?name
limit 10
"
31,"SELECT ?name ?abstract ?game
WHERE {
?name <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name.
OPTIONAL
{FILTER langMatches( lang(?abstract), 'en')}
OPTIONAL
{FILTER langMatches( lang(?abstract), 'pl')}
}
ORDER by ?name
limit 10"
32,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?name ?abstract ?game
WHERE {
?name <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name.
OPTIONAL
{?game rdfs:comment ?abstract
FILTER langMatches( lang(?abstract), 'en')}
OPTIONAL
?game rdfs:comment ?abstract
{FILTER langMatches( lang(?abstract), 'pl')}
}
ORDER by ?name
limit 10"
33,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

SELECT ?name ?abstract ?game
WHERE {
?name <http://purl.org/dc/terms/subject>
<http://dbpedia.org/resource/Category:Party_games> .
?game foaf:name ?name.
OPTIONAL
{?game rdfs:comment ?abstract
FILTER langMatches( lang(?abstract), 'en')}
OPTIONAL
?game rdfs:comment ?abstract
{FILTER langMatches( lang(?abstract), 'pl')}
}
ORDER by ?name
limit 10"
