,query
0,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?label ?released ?abstract WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpedia2:starring <http://dbpedia.org/resource/Tom_Cruise>.
?subject rdfs:comment ?abstract.
?subject rdfs:label ?label.
FILTER(lang(?abstract) = ""en"" && lang(?label) = ""en"").
?subject <http://dbpedia.org/ontology/releaseDate> ?released.
FILTER(xsd:date(?released) < ""2000-01-01""^^xsd:date).
} ORDER BY ?released
LIMIT 20
"
1,"SELECT ?subject ?label ?abstract WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpedia2:starring <http://dbpedia.org/resource/Sophie_Marceau>.
?subject rdfs:label ?label.
?subject rdfs:comment ?abstract.
FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
}
"
2,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?label ?abstract WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpedia2:starring <http://dbpedia.org/resource/Sophie_Marceau>.
?subject rdfs:label ?label.
?subject rdfs:comment ?abstract.
FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
}"
3,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?released ?abstract ?actor WHERE {
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:label ?label.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:comment ?abstract.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> dbpedia2:starring ?actor.
FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
<http://dbpedia.org/resource/The_Chorus_(2004_film)> <http://dbpedia.org/ontology/releaseDate> ?released.
} ORDER BY ?released
LIMIT 20
"
4,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?released ?abstract ?actor WHERE { {
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:label ?label.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:comment ?abstract.

FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
http://dbpedia.org/resource/The_Chorus_(2004_film) <http://dbpedia.org/ontology/releaseDate> ?released.
}
UNION 
{
<http://dbpedia.org/resource/The_Chorus_(2004_film)> dbpedia2:starring ?actor.
}
}
LIMIT 20
"
5,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?released ?abstract ?actor WHERE { {
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:label ?label.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:comment ?abstract.

FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
http://dbpedia.org/resource/The_Chorus_(2004_film) <http://dbpedia.org/ontology/releaseDate> ?released.
}
UNION 
{
<http://dbpedia.org/resource/The_Chorus_(2004_film)> dbpedia2:starring ?actor.
}
}
"
6,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?label ?released ?abstract ?actor WHERE { {
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:label ?label.
<http://dbpedia.org/resource/The_Chorus_(2004_film)> rdfs:comment ?abstract.

FILTER(lang(?abstract) = ""fr"" && lang(?label) = ""fr"").
<http://dbpedia.org/resource/The_Chorus_(2004_film)> <http://dbpedia.org/ontology/releaseDate> ?released.
}
UNION 
{
<http://dbpedia.org/resource/The_Chorus_(2004_film)> dbpedia2:starring ?actor.
}
}
"
7,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?name ?description ?homepage WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpedia2:starring <http://dbpedia.org/resource/Tom_Cruise>.

<http://dbpedia.org/resource/Tom_Cruise> foaf:name ?name.
<http://dbpedia.org/resource/Tom_Cruise> dc:description ?description.
<http://dbpedia.org/resource/Tom_Cruise> foaf :homepage ?homepage
}
"
8,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?subject ?name ?description ?homepage WHERE {
?subject rdf:type <http://dbpedia.org/ontology/Film>.
?subject dbpedia2:starring <http://dbpedia.org/resource/Tom_Cruise>.

<http://dbpedia.org/resource/Tom_Cruise> foaf:name ?name.
<http://dbpedia.org/resource/Tom_Cruise> dc:description ?description.
<http://dbpedia.org/resource/Tom_Cruise> foaf:homepage ?homepage
}
"
9,"PREFIX owl: <http://www.w3.org/2002/07/owl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX foaf: <http://xmlns.com/foaf/0.1/>
PREFIX dc: <http://purl.org/dc/elements/1.1/>
PREFIX : <http://dbpedia.org/resource/>
PREFIX dbpedia2: <http://dbpedia.org/property/>
PREFIX dbpedia: <http://dbpedia.org/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
SELECT ?name ?birthplace ?description ?website WHERE

{

<http://dbpedia.org/resource/Tom_Cruise> dbpprop:name ?name.
<http://dbpedia.org/resource/Tom_Cruise> dbpprop:birthPlace ?birthplace.
<http://dbpedia.org/resource/Tom_Cruise> dc:description ?description.
<http://dbpedia.org/resource/Tom_Cruise> foaf:homepage ?website

}
"
