,query
0,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait ;
    dbpprop:texture ?texture ;
    dbpprop:aging ?fraicheur .
 
}"
1,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait ;
    dbpprop:texture ?texture ;
    dbpprop:aging ?fraicheur .
 
}"
2,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait ;
    dbpprop:texture ?texture ;
    dbpprop:aging ?fraicheur .
 
}"
3,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait ;
    dbpprop:texture ?texture ;
    dbpprop:aging ?fraicheur .
 
}"
4,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait ;
    dbpprop:texture ?texture ;
    dbpprop:aging ?fraicheur .
 
}"
5,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait ;
    dbpprop:texture ?texture ;
    dbpprop:aging ?fraicheur .
 
}"
6,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait .
 OPTIONAL (?fromage dbpprop:texture ?texture .
 dbpprop:aging ?fraicheur) .
 
}"
7,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait .
 OPTIONAL {?fromage dbpprop:texture ?texture .
 dbpprop:aging ?fraicheur} .
 
}"
8,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait .
 OPTIONAL {?fromage dbpprop:texture ?texture .
 dbpprop:aging ?fraicheur . } .
 
}"
9,"select distinct ?fromage ?nomFromage ?typeLait ?fraicheur ?texture ?pays
where
{
 ?fromagesParPays skos:broader category:Cheeses_by_country .
 ?fromage dcterms:subject ?fromagesParPays ;
    dbpprop:country ?pays ;
    dbpprop:name ?nomFromage ;
    dbpprop:source ?typeLait .
 OPTIONAL {?fromage dbpprop:texture ?texture .
    ?fromage dbpprop:aging ?fraicheur} .
 
}"
