,query
0,"select ?name
where 
{
 dbpedia:Woody_Allen dbpedia-owl:birthName ?name
} 
"
1,"select ?name
where 
{
 dbpedia:Woody_Allen  dbpedia-owl:author ?name;

 dbpedia-owl:director  ?name;

 dbpedia-owl:starring ?name.
} 
"
2,"select ?name
where 
{
 dbpedia:Woody_Allen  dbpedia-owl:author ?name.
} 
"
3,"select ?name
where 
{
 dbpedia:Woody_Allen dbpedia-owl:author ?name.
} 
"
4,"select ?name
where 
{
 dbpedia:Woody_Allen is dbpedia-owl:author of ?name.
} 
"
5,"select ?name
where 
{
 dbpedia:Woody_Allen is dbpedia-owl:author of ?name.
} 
"
6,"select ?name
where 
{
 dbpedia:Woody_Allen dbpedia-owl:director ?name.
} 
"
7,"select ?name
where 
{
 dbpedia:Woody_Allen foaf:name ?name.
} 
"
8,"select ?name
where 
{
 dbpedia:Woody_Allen owl:sameAs ?name.
} 
"
9,"select ?name
where 
{
 dbpedia:Woody_Allen  dbpedia-owl:director ?name.
} 
"
10,"select ?name
where 
{
 dbpedia:Woody_Allen dbpedia-owl:director ?name.
} 
"
11,"select ?name
where 
{
 dbpedia:Woody_Allen  dbpedia-owl:influencedBy  ?name.
} 
"
12,"select ?name
where 
{
   dbpedia-owl:influencedBy dbpedia:Woody_Allen ?name.
} 
"
13,"select ?name
where 
{
   dbpedia:Woody_Allen ?name.
} 
"
14,"select ?name
where 
{
   dbpedia:Woody_Allen http://dbpedia.org/ontology/director ?name.
} 
"
15,"select ?name
where 
{
   http://dbpedia.org/resource/Woody_Allen http://dbpedia.org/ontology/director ?name.
} 
"
16,"select ?name
where 
{
   http://dbpedia.org/resource/Woody_Allen http://xmlns.com/foaf/spec/ ?name.
} 
"
17,"select ?name
where 
{
  dbpedia:Woody_Allen dbpedia-owl:occupation ?name
}
"
18,"select ?name
where 
{
  dbpedia:Woody_Allen dbpedia-owl:occupation ?name.
}
"
19,"select ?name
where 
{
   ?name dbpedia-owl:director dbpedia:Woody_Allen.
}
"
20,"select ?name
where 
{
   ?name dbpedia-owl:director dbpedia:Woody_Allen;
         dbpedia-owl:writer dbpedia:Woody_Allen;
          dbpedia-owl:starring dbpedia:Woody_Allen.
}
"
21,"select distinct  ?name
where 
{
   ?name dbpedia-owl:director dbpedia:Woody_Allen;
         dbpedia-owl:writer dbpedia:Woody_Allen;
          dbpedia-owl:starring dbpedia:Woody_Allen.
}
"
22,"select distinct ?name
where 
{
   ?name dbpedia-owl:director dbpedia:Woody_Allen;
         dbpedia-owl:writer dbpedia:Woody_Allen;
          dbpedia-owl:starring dbpedia:Woody_Allen.
}
"
23,"select distinct ?name
where 
{
   ?name dbpedia-owl:director dbpedia:Woody_Allen.
   ?name dbpedia-owl:writer dbpedia:Woody_Allen.
   ?name dbpedia-owl:starring dbpedia:Woody_Allen.
}
"
24,"select distinct ?name
where 
{
   ?name dbpedia-owl:director dbpedia:Woody_Allen.
  
}
"
25,"select distinct ?name
where 
{
   ?name dbpedia-owl:director dbpedia:Woody_Allen.
   ?name dbpedia-owl:writer dbpedia:Woody_Allen.
   ?name dbpedia-owl:starring dbpedia:Woody_Allen.
  
}
"
26,"select ?name
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
  OPTIONAL  { ?name dbpedia-owl:writer dbpedia:Woody_Allen}
   OPTIONAL  { ?name dbpedia-owl:starring dbpedia:Woody_Allen}
  
}
"
27,"select distinct ?name
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
  OPTIONAL  { ?name dbpedia-owl:writer dbpedia:Woody_Allen}
   OPTIONAL  { ?name dbpedia-owl:starring dbpedia:Woody_Allen}
  
}
"
28,"select distinct ?name
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
  OPTIONAL  { ?name dbpedia-owl:writer dbpedia:Woody_Allen}
   OPTIONAL  { ?name dbpedia-owl:starring dbpedia:Woody_Allen}
  
}
"
29,"select ?name ?n ?m
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
  OPTIONAL  { ?ndbpedia-owl:writer dbpedia:Woody_Allen}
   OPTIONAL  { ?m dbpedia-owl:starring dbpedia:Woody_Allen}
  
}
"
30,"select ?name ?n ?m
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
  OPTIONAL  { ?n dbpedia-owl:writer dbpedia:Woody_Allen}
   OPTIONAL  { ?m dbpedia-owl:starring dbpedia:Woody_Allen}
  
}
"
31,"select ?name
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
 
}
"
32,"select ?name
where 
{ ?name dbpedia-owl:director dbpedia:Woody_Allen
 
}
"
33,"select ?name
where 
{ 
  ?name dbpedia-owl:director dbpedia:Woody_Allen;
   dbpedia-owl:author dbpedia:Woody_Allen.
 
}
"
34,"select ?name
where 
{ 
  ?name dbpedia-owl:director dbpedia:Woody_Allen.
  ?name dbpedia-owl:author dbpedia:Woody_Allen.
 
}
"
35,"select ?name
where 
{ 
  
  ?name dbpedia-owl:author dbpedia:Woody_Allen.
 
}
"
36,"select ?name 
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
  OPTIONAL  { ?ndbpedia-owl:writer dbpedia:Woody_Allen}
   OPTIONAL  { ?m dbpedia-owl:starring dbpedia:Woody_Allen}
  
}
"
37,"select ?name 
where 
{
 OPTIONAL { ?name dbpedia-owl:director dbpedia:Woody_Allen}
  OPTIONAL  { ?name dbpedia-owl:writer dbpedia:Woody_Allen}
   OPTIONAL  { ?name dbpedia-owl:starring dbpedia:Woody_Allen}
  
}
"
38,"select ?name 
where 

{ 
?name dbpedia-owl:director dbpedia:Woody_Allen.
   ?name dbpedia-owl:writer dbpedia:Woody_Allen.
    ?name dbpedia-owl:starring dbpedia:Woody_Allen.
  
}
"
39,"select ?name 
where 

{ 
    ?name dbpedia-owl:director dbpedia:Woody_Allen.
    ?x dbpedia-owl:writer dbpedia:Woody_Allen.
    ?y dbpedia-owl:starring dbpedia:Woody_Allen.
FILTER(?name=?x=?y).
  
}
"
40,"select ?name 
where 

{ 
    ?name dbpedia-owl:director dbpedia:Woody_Allen.
    ?x dbpedia-owl:writer dbpedia:Woody_Allen.
    ?y dbpedia-owl:starring dbpedia:Woody_Allen.
   FILTER(?name = ?x = ?y).
  
}
"
41,"select ?m
where 

{ 
    ?name dbpedia-owl:director dbpedia:Woody_Allen.
    ?x dbpedia-owl:writer dbpedia:Woody_Allen.
    ?y dbpedia-owl:starring dbpedia:Woody_Allen.
   FILTER(?name = ?x = ?y =?m).
  
}
"
42,"select ?name
where 

{ 
    ?name dbpedia-owl:director dbpedia:Woody_Allen;
    dbpedia-owl:writer dbpedia:Woody_Allen;
    dbpedia-owl:starring dbpedia:Woody_Allen.
 
  
}
"
43,"select distinct ?name
where 

{ 
    ?name dbpedia-owl:director dbpedia:Woody_Allen;
    dbpedia-owl:writer dbpedia:Woody_Allen;
    dbpedia-owl:starring dbpedia:Woody_Allen.
 
  
}
"
44,"select distinct ?n
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.
 
  
}
"
45,"select ?n
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.
 
  
}
"
46,"select distinct ?n
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.
 
  
}
"
47,"select distinct ?n
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.
 
  
}
ORDER BY dbpprop:released

"
48,"select distinct ?n, dbpprop:released
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.
 
  
}
ORDER BY dbpprop:released

"
49,"select distinct ?n, ?date
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

 ?n dbpprop:released ?date.
  
}
ORDER BY ?date

"
50,"select distinct ?n, distinct ?date
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

 ?n dbpprop:released ?date.
  
}
ORDER BY ?date

"
